,Magnetization,Standard Deviation,time (s)
0,0.216475,0.16946924315344067,5500.749994277954
1,0.2133375,0.1634144993375741,5368.9106550216675
2,0.21005,0.16424333319803272,5371.100768566132
3,0.2215875,0.1705521689799048,5315.450663089752
4,0.2159125,0.16705793858344475,5288.559196710587
5,0.2137,0.16657711427444047,5215.169440746307
6,0.2069125,0.16071529125677494,5355.53058886528
7,0.207875,0.1618656367948429,5320.830550909042
8,0.21255,0.16648197349863436,5325.962620973587
9,0.2161375,0.1682684420613384,5339.145800352097
10,0.2101125,0.16047172599479947,5347.170061588287
11,0.21135,0.16099278710550977,5325.751536369324
12,0.2063625,0.16596447238415216,5322.469450950623
13,0.20235,0.15928975955785732,5275.305411577225
14,0.20425,0.15883580358344904,7585.9602200984955
