kT,Energy,Magnetisation,Heat Capacity,Susceptibility
0.1,-27.0,1.0,0.0,0.0
0.22040816326530613,-27.0,1.0,0.0,0.0
0.3408163265306122,-27.0,1.0,0.0,0.0
0.46122448979591835,-27.0,1.0,0.0,0.0
0.5816326530612245,-27.0,1.0,0.0,0.0
0.7020408163265306,-27.0,1.0,0.0,0.0
0.8224489795918367,-26.99964523202934,0.9999921162673185,0.0005827315799378665,2.1300755257592784e-06
0.9428571428571428,-26.998492236124694,0.9999664941361044,0.0018842284069421629,7.895814276709985e-06
1.063265306122449,-26.99031039980133,0.9997836900845555,0.009618512086299947,4.6194531796386846e-05
1.183673469387755,-26.980181774238968,0.9995580182365518,0.015820491765591138,8.429247165890888e-05
1.3040816326530613,-26.962443375705934,0.9991648170690696,0.024487302200094974,0.0001422883732295534
1.4244897959183676,-26.933188321925325,0.9984951925244477,0.037847032884189995,0.0002519177819387836
1.5448979591836736,-26.87030569912572,0.9970711933088788,0.06218628512621191,0.00045244871699256497
1.6653061224489796,-26.79325453049785,0.9952879915230166,0.0867772561168847,0.000709078449968508
1.7857142857142858,-26.667781968474433,0.9923798796301839,0.12193726583890774,0.0010955486986759465
1.906122448979592,-26.51955104113313,0.9888844296525914,0.15628225715981162,0.0015338029700271336
2.026530612244898,-26.337976359149355,0.984520290880172,0.19257377780728263,0.002094127548476795
2.146938775510204,-26.055935822474108,0.9776831237122723,0.2468259795546487,0.002968954254906593
2.26734693877551,-25.79455165089058,0.9710262969294589,0.28577662069354975,0.0038842438680733284
2.3877551020408165,-25.533677458264876,0.9645769108628226,0.3118622435340063,0.004521417473521391
2.5081632653061225,-25.11734837549529,0.9534086180531074,0.36987333437656167,0.006174178590744233
2.6285714285714286,-24.744664622316236,0.9441462176191079,0.39873873039257823,0.006918682849437995
2.748979591836735,-24.27084982450072,0.9307276118621595,0.44369450078209455,0.008938337137428323
2.869387755102041,-23.732019361461997,0.916342756118454,0.4818559342162322,0.010361256369145791
2.989795918367347,-23.18646604537926,0.9006235786184303,0.5160425999968387,0.01225461157847393
3.110204081632653,-22.71022552156435,0.8873542710491354,0.5259067627213626,0.013323248037994348
3.230612244897959,-22.028716249925168,0.8665885191664628,0.5644017957524613,0.015849684573356462
3.3510204081632655,-21.448816959682837,0.850125807127929,0.5713647523738082,0.016926667690645034
3.4714285714285715,-20.890988671815236,0.8335394190329567,0.5722569378980518,0.01812969837340019
3.5918367346938775,-20.19516007796026,0.8122380660612454,0.5769590196329856,0.019731986955189292
3.712244897959184,-19.54338923146171,0.7915846573692823,0.5813014640256465,0.021307776077282292
3.83265306122449,-18.966026532209607,0.773962051160005,0.5687699603925809,0.022080341713260274
3.953061224489796,-18.285253404109543,0.751682622602514,0.5645449813824777,0.023514801468879586
4.073469387755102,-17.805576065578858,0.7378747575444244,0.5419649102106215,0.02326772333059784
4.193877551020408,-17.07219528202945,0.7115623069871305,0.5394782394815446,0.025204349269712607
4.314285714285714,-16.610478072013464,0.6966792978846222,0.5187728189672426,0.025431693213029967
4.43469387755102,-15.961576411477632,0.6759849923293746,0.4996153648516525,0.025682188625252754
4.555102040816326,-15.58681283107058,0.6642288687016058,0.47483267971137333,0.025323759864888183
4.6755102040816325,-14.973853600562308,0.6428097524729669,0.4586299626937381,0.025919751745239274
4.795918367346938,-14.594815066108794,0.6287289131707856,0.4410033905745716,0.026252644202994637
4.916326530612245,-14.119949268180196,0.6138375276023033,0.4175125749106345,0.025734930792725007
5.036734693877551,-13.636901633928234,0.5965115468351619,0.4011894477301196,0.02596050501318541
5.157142857142857,-13.176789748979488,0.5801207738573454,0.3825696635314053,0.025874333566335363
5.277551020408163,-12.850496342563952,0.5692762068208577,0.3639180949554732,0.02549631321039147
5.3979591836734695,-12.382752511646368,0.5526129523322422,0.3444969988561499,0.02515538853330028
5.518367346938775,-12.089687560282838,0.5418220932246463,0.3270933973255375,0.024963362520750234
5.6387755102040815,-11.734147969285964,0.5288612366965091,0.31353557120731984,0.024757168718190704
5.759183673469387,-11.348306758995031,0.5140708614530065,0.29807205914424195,0.024639353555555542
5.8795918367346935,-11.153703223288744,0.5085409157103328,0.2841314135233538,0.023935747871128073
6.0,-10.811467431191643,0.49484687204283045,0.2694954474916122,0.02368574266906961
